1	2
2	62
3	11
4	21
5	2
6	16
7	3
8	6
9	1
10	1
12	1
13	75
14	20
15	1
16	20
17	12
18	3
19	9
20	45
21	30
22	23
23	45
24	3
25	76
26	13
27	49
28	79
29	9
30	30
31	19
32	17
33	43
34	102
35	3
36	87
37	79
38	35
39	2
40	3
41	11
42	30
43	9
44	5
45	17
46	37
47	4
48	5
49	1
50	5
51	11
52	2
53	20
54	103
55	15
56	49
57	24
58	3
60	8
61	7
62	28
63	38
64	31
65	4
66	5
67	1
68	18
69	2
70	2
71	13
72	3
73	2
74	68
75	6
76	6
77	3
78	26
79	4
80	45
81	7
82	31
83	3
84	10
85	3
86	10
87	12
88	39
89	36
90	5
91	6
92	34
93	39
94	78
95	79
96	6
97	15
98	7
99	11
100	114
101	3
102	78
103	28
104	7
105	4
106	19
107	2
108	19
109	26
110	47
111	10
112	72
113	41
114	9
115	30
116	40
117	33
118	13
119	10
120	57
121	5
122	7
123	6
124	93
125	3
126	20
127	4
128	24
129	3
130	55
131	15
132	6
133	7
134	16
135	4
136	42
137	10
138	28
139	5
141	3
142	8
143	5
144	29
145	19
146	57
147	39
148	6
149	11
150	26
151	20
152	7
153	1
154	21
155	9
156	39
157	3
158	56
159	6
160	3
161	55
162	6
163	31
164	3
165	53
166	31
167	2
168	7
170	5
171	36
172	18
173	13
174	18
175	28
176	14
177	221
178	64
179	3
180	1
182	11
183	39
184	27
185	13
186	1
187	38
188	21
189	44
190	7
191	7
192	39
193	33
194	9
195	1
196	20
197	11
198	1
199	8
200	91
201	21
202	2
203	6
204	9
205	24
206	7
207	4
208	11
209	17
210	19
211	27
212	3
213	2
214	48
215	3
216	16
217	4
218	9
219	26
220	9
221	3
222	25
223	178
224	24
225	4
226	16
227	17
228	78
229	19
230	31
231	29
232	17
233	1
234	8
235	4
236	9
237	75
238	3
239	79
240	40
241	157
242	39
243	75
244	6
245	85
246	3
247	13
248	43
249	68
250	3
251	58
252	39
253	40
254	34
255	7
256	24
257	20
258	140
259	3
260	7
261	24
262	39
263	16
264	155
265	1
266	95
267	2
268	6
269	5
270	17
271	69
272	3
273	1
274	50
275	9
276	4
277	5
278	7
279	8
280	35
281	5
282	1
283	60
284	6
285	5
286	86
287	11
288	48
289	23
290	30
291	10
292	8
293	100
294	43
295	4
296	17
297	2
298	5
299	47
300	32
301	3
302	43
303	87
304	136
305	6
306	6
307	6
308	180
309	8
310	5
311	32
312	7
313	5
314	33
315	126
316	26
317	28
318	2
319	15
320	2
321	10
322	9
323	3
324	8
325	4
326	3
327	2
328	5
329	2
330	31
331	69
332	6
333	3
334	71
335	8
336	15
337	2
338	26
339	3
340	53
341	58
342	157
343	40
344	5
345	78
346	13
347	17
348	46
349	114
350	2
351	33
352	78
353	90
354	12
355	4
356	19
357	58
358	20
359	13
360	4
361	2
362	58
363	4
364	37
365	7
366	13
367	1
368	176
369	81
370	72
371	38
372	27
373	85
374	37
375	14
376	78
377	21
378	21
379	55
380	5
381	95
382	39
383	118
384	8
385	4
386	42
387	25
388	39
390	33
391	6
392	76
393	239
394	45
395	42
396	87
397	3
398	25
399	34
400	39
401	18
402	3
403	176
404	46
405	40
406	53
407	5
408	2
409	3
410	47
411	60
412	1
413	15
414	101
415	22
416	41
417	61
418	34
419	10
420	13
421	17
422	5
423	25
424	17
425	14
427	75
428	47
429	15
430	27
431	22
432	32
433	46
434	61
435	82
436	105
437	5
438	3
439	10
440	3
441	42
442	24
443	1
444	1
445	49
446	88
447	51
448	61
449	48
450	34
451	151
452	22
453	4
454	34
455	10
456	12
457	15
458	8
459	9
460	34
461	2
462	90
463	117
464	3
466	50
467	47
468	109
469	28
470	13
471	40
472	3
473	80
474	115
475	11
476	39
477	83
478	14
