id	interarrival	mongrel	database	transfer	total
103	28.0	0.10067	0.55457	0.02798	0.68322
104	7.0	0.09958	0.57063	0.02818	0.69839
105	4.0	0.04557	0.62001	0.0269400000000001	0.69252
106	19.0	0.22230	0.60459	0.12658	0.95347
107	2.0	0.35034	0.61426	0.12179	1.08639
108	18.0	0.04661	0.56048	0.02721	0.63430
109	27.0	0.05277	0.54483	0.036	0.63360
110	47.0	0.09132	0.54723	0.02498	0.66353
111	9.0	0	0.00000	0.00062	0.00062
112	72.0	0.20972	0.70470	0.04064	0.95506
113	42.0	0.04906	0.57272	0.0234799999999999	0.64526
114	8.0	0.05073	0.56635	0.0769099999999999	0.69399
115	31.0	0.15076	0.57203	0.08593	0.80872
116	39.0	0.03341	0.56043	0.1165	0.71034
117	34.0	0.03765	0.52834	0.02205	0.58804
118	12.0	0.10361	0.56805	0.0627	0.73436
119	10.0	0	0.00000	0.00064	0.00064
120	57.0	0	0.00000	0.00062	0.00062
121	5.0	0.04687	0.54953	0.02346	0.61986
122	8.0	0.14570	0.55823	0.10092	0.80485
123	5.0	0	0.00000	0.00065	0.00065
124	94.0	0.30932	0.58135	0.11894	1.00961
125	2.0	0	0.00000	0.00064	0.00064
126	21.0	0.11091	0.56720	0.23722	0.91533
127	3.0	0	0.00000	0.00063	0.00063
128	25.0	0.26766	0.58397	0.10436	0.95599
129	2.0	0	0.00000	0.00075	0.00075
130	56.0	0.05900	0.55295	0.02627	0.63822
131	14.0	0	0.00000	0.00063	0.00063
132	7.0	0.09988	0.55161	0.0605599999999999	0.71205
133	6.0	0	0.00000	0.00063	0.00063
134	18.0	0.56571	0.86169	0.4078	1.83520
135	2.0	0	0.00000	0.00064	0.00064
136	42.0	0.10895	0.54332	0.00751999999999997	0.65979
137	10.0	0	0.00063	0.0017	0.00233
138	31.0	0.55117	0.79381	1.67296	3.01794
139	2.0	0	0.00000	0.0007	0.00070
140	1.0	0.32720	0.65915	0.0154200000000001	1.00177
141	3.0	0.28549	0.56845	0.00398999999999994	0.85793
142	8.0	0.14613	0.56436	0.10209	0.81258
